BookID,BookTitle,AuthorName,BookPrice,BookPublisher,BookPublicationDate,BookQuantity
0,Attack on Titan: Volume 13,Hajime Isayama,43.28,Kodansha Comics,"Jul 31, 2014",15
1,Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,26.15,Kensington Publishing Corp.,"Jul 1, 2007",20
2,The Art of Super Mario Odyssey,Nintendo,133.85,Dark Horse Comics,"Nov 5, 2019",6
3,Getting Away Is Deadly: An Ellie Avery Mystery,Sara Rosett,26.15,Kensington Publishing Corp.,"Mar 1, 2009",18
4,"The Painted Man (The Demon Cycle, Book 1)",Peter V. Brett,28.54,HarperCollins UK,"Jan 8, 2009",1
5,"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,29.29,HarperCollins UK,"Feb 24, 2011",18
6,God of War: The Official Novelization,J.M. Barlog,15.82,Titan Books,"Aug 28, 2018",20
7,Edgedancer: From the Stormlight Archive,Brandon Sanderson,36.79,Tor Books,"Oct 17, 2017",5
8,"Blood, Sweat, and Pixels: The Triumphant, Turbulent Stories Behind How Video Games Are Made",Jason Schreier,50.25,HarperCollins,"Sep 5, 2017",15
9,Twas The Nightshift Before Christmas: Festive hospital diaries from the author of million-copy hit This is Going to Hurt,Adam Kay,41.82,Pan Macmillan,"Oct 17, 2019",12
10,Sword of Destiny: Witcher 2: Tales of the Witcher,Andrzej Sapkowski,43.28,Hachette UK,"May 21, 2015",10
11,The Mysterious Affair at Styles (Poirot),Agatha Christie,19.28,HarperCollins UK,"Oct 14, 2010",2
12,Riley Paige Mystery Bundle: Once Gone (#1) and Once Taken (#2),Blake Pierce,14.96,Blake Pierce,"Jun 16, 2016",2
13,Deadpool Kills the Marvel Universe,Cullen Bunn,27.53,Marvel Entertainment,"May 21, 2014",20
14,The Red Signal: An Agatha Christie Short Story,Agatha Christie,7.5,HarperCollins UK,"Sep 1, 2011",11
15,Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,33.42,Tor Fantasy,"Jul 20, 2010",7
16,My Little Pony: Friendship is Magic #83,Thom Zahler,7.84,IDW Publishing,"Oct 16, 2019",7
